Requirement_ID,PDF_Page,Printed_Page,Section,Requirement_Description_AR,Level,Category,Acceptance_Evidence,Current_Portal_Status
TAIZ-LEG-001,3,2,Part 1,الخضوع الكامل لأحكام القانون رقم (23) لسنة 2007م ولائحته التنفيذية,MUST,LEG,مراجعة نصوص العطاء وإقرارات التقديم,ACCEPTANCE_PENDING
TAIZ-LEG-002,3,2,Part 1,تقديم العطاء في مظروفين منفصلين تماماً (فني ومالي) ومختومين بالشمع الأحمر,MUST,LEG,فحص المظاريف عند التسليم في الصندوق,ACCEPTANCE_PENDING
TAIZ-LEG-003,3,2,Part 1,تقديم أصل ضمان بنكي ابتدائي غير مشروط بنسبة لا تقل عن (2%) وسارٍ لمدة 90 يوماً,MUST,LEG,فحص أصل خطاب الضمان البنكي المرفق,TO_BUILD
TAIZ-LEG-004,42,41,Part 17,الالتزام بتقديم ضمان حسن تنفيذ بنسبة (10%) من قيمة العقد عند الترسية,MUST,LEG,التعهد القانوني في نموذج الإقرار المالي,ACCEPTANCE_PENDING
TAIZ-LEG-005,3,2,Part 1,إرفاق صورة طبق الأصل لسجل تجاري ساري المفعول لعام 2026م متضمناً تقنية المعلومات,MUST,LEG,فحص الشهادة والسجل التجاري في المظروف,FOUNDATION
TAIZ-LEG-006,3,2,Part 1,إرفاق صورة طبق الأصل لبطاقة ضريبية سارية المفعول لعام 2026م,MUST,LEG,فحص البطاقة الضريبية المعتمدة,FOUNDATION
TAIZ-LEG-007,3,2,Part 1,إرفاق صورة طبق الأصل لبطاقة زكوية سارية المفعول لعام 2026م,MUST,LEG,فحص البطاقة الزكوية المعتمدة,FOUNDATION
TAIZ-LEG-008,3,2,Part 1,إرفاق صورة طبق الأصل لشهادة تسجيل بضريبة المبيعات سارية المفعول,MUST,LEG,فحص شهادة ضريبة المبيعات المعتمدة,FOUNDATION
TAIZ-LEG-009,3,2,Part 1,إرفاق صورة طبق الأصل لشهادة سداد التأمينات الاجتماعية سارية المفعول لعام 2026م,MUST,LEG,فحص شهادة التأمينات الاجتماعية,FOUNDATION
TAIZ-LEG-010,3,2,Part 1,تقديم سابقة أعمال موثقة بـ (3 مشاريع مماثلة) في بوابات جامعية/منصات ضخمة مع شهادات إنجاز,MUST,LEG,فحص شهادات الإنجاز والاستلام النهائي الرسمية,FOUNDATION
TAIZ-LEG-011,3,2,Part 1,التنازل والتمليك الكامل لجامعة تعز لكافة حقوق الملكية الفكرية (Full IP Transfer),MUST,LEG,توقيع إقرار نقل الملكية الفكرية المعتمد,READY
TAIZ-LEG-012,3,2,Part 1,تسليم مستودع Git كامل الشفرات المصدرية والأدلة وقواعد البيانات بدون أجزاء مغلقة,MUST,LEG,محضر تسليم واستلام مستودع Git المعتمد,READY
TAIZ-LEG-013,3,2,Part 1,التزام المورد بمبدأ حيادية المورد وتوفير التقنيات والبرمجيات المفتوحة أو ما يعادلها,MUST,DEV,تدقيق خلو العرض من التقنيات الاحتكارية,READY
TAIZ-FR-001,8,7,Part 4,تصميم وتطوير الموقع الإلكتروني الرسمي لجامعة تعز كواجهة مركزية تمثل الجامعة محلياً ودولياً,MUST,FR,فحص الواجهات والموقع المعتمد,FOUNDATION
TAIZ-FR-002,6,5,Part 4,دعم كامل ومتطابق للغتين العربية والإنجليزية في كافة الواجهات ولوحات التحكم,MUST,FR,فحص قواميس الترجمة والتغطية 100%,FOUNDATION
TAIZ-FR-003,6,5,Part 4,دعم كامل لاتجاه النصوص RTL للعربية و LTR للإنجليزية دون تشوه الواجهات,MUST,FR,فحص التبديل السلس للاتجاهات وتناسق DOM,FOUNDATION
TAIZ-FR-004,5,4,Part 4,تصميم متجاوب بنسبة 100% مع كافة الشاشات والأجهزة بمبدأ Mobile-First (من 320px إلى 4K),MUST,UX,اختبارات التجاوب عبر أجهزة ومحاكيات متعددة,FOUNDATION
