Req_ID,Category,Level,RFP_Statement_AR,Compliance_Status,Current_Implementation_Evidence,Proposed_Technical_Solution,Effort_Days,Owner_Role
TAIZ-LEG-001,LEG,MUST,الخضوع للقانون رقم 23 لسنة 2007م ولائحته التنفيذية,ACCEPTANCE_PENDING,التزام تعاقدي كامل في كافة مشاريع الشركة السابقة,تضمين الإقرار القانوني الصريح في وثائق المظروف الفني,1,Legal Counsel
TAIZ-LEG-002,LEG,MUST,تقديم العطاء في مظروفين منفصلين مختومين بالشمع الأحمر,ACCEPTANCE_PENDING,إجراء شكلي قياسي وفق الأصول المهنية للمناقصات,إعداد مظروف فني ومظروف مالي منفصلين والتختيم بالشمع,1,Project Manager
TAIZ-LEG-003,LEG,MUST,تقديم أصل ضمان بنكي ابتدائي غير مشروط بنسبة 2% (90 يوماً),TO_BUILD,يتطلب إصدار خطاب الضمان البنكي من البنك التجاري,استكمال التغطية المالية وسحب خطاب الضمان أو شيك مقبول الدفع,5,Financial Officer
TAIZ-LEG-004,LEG,MUST,تقديم ضمان حسن التنفيذ 10% عند الترسية,ACCEPTANCE_PENDING,إجراء تعاقدي يتم استيفاؤه فور إشعار الترسية,التعهد الخطي في نموذج الإقرار المالي وإعداد التغطية,1,Financial Officer
TAIZ-LEG-005,LEG,MUST,إرفاق صورة طبق الأصل لسجل تجاري ساري المفعول لعام 2026م,FOUNDATION,السجل التجاري لشركة سيستراك متوفر بنشاط تقنية المعلومات,سحب صورة طبق الأصل مصدقة وسارية المفعول لعام 2026م,2,Legal Counsel
TAIZ-LEG-006,LEG,MUST,إرفاق صورة طبق الأصل لبطاقة ضريبية سارية لعام 2026م,FOUNDATION,البطاقة الضريبية متوفرة لدى الإدارة المالية للشركة,تجديد وسحب صورة مصدقة طبق الأصل لعام 2026م,3,Financial Officer
TAIZ-LEG-007,LEG,MUST,إرفاق صورة طبق الأصل لبطاقة زكوية سارية لعام 2026م,FOUNDATION,شهادة تسديد الواجبات الزكوية متوفرة,تجديد البطاقة وسحب صورة مصدقة لعام 2026م,3,Financial Officer
TAIZ-LEG-008,LEG,MUST,إرفاق صورة طبق الأصل لشهادة تسجيل ضريبة المبيعات,FOUNDATION,شهادة التسجيل بضريبة المبيعات سارية المفعول,إرفاق صورة طبق الأصل مصدقة بالمظروف الفني,1,Financial Officer
TAIZ-LEG-009,LEG,MUST,إرفاق صورة طبق الأصل لشهادة سداد التأمينات الاجتماعية 2026م,FOUNDATION,السجل التأميني لكادر الشركة مسدد لدى المؤسسة العامة,سحب شهادة السداد السنوية سارية المفعول لعام 2026م,3,Financial Officer
TAIZ-LEG-010,LEG,MUST,تقديم سابقة أعمال موثقة بـ 3 مشاريع جامعية/بوابات كبرى,FOUNDATION,مشروع بوابة كلية الحاسوب بجامعة سبأ متوفر وموثق,توثيق مشاريع المنصات السابقة أو تغطيتها بشريك استشاري معتمد,6,Business Dev
TAIZ-LEG-011,LEG,MUST,التنازل والتمليك الكامل لجامعة تعز للملكية الفكرية (Full IP),READY,المنصة مبنية على تقنيات مفتوحة المصدر بالكامل (Open-Source),توقيع إقرار نقل الملكية الفكرية الكامل وغير المشروط للجامعة,1,Legal Counsel
TAIZ-LEG-012,LEG,MUST,تسليم مستودع Git كامل الشفرات والأدلة دون أجزاء مغلقة,READY,كافة الأكواد المصدرية وسكريبتات البناء منظمة في Git,إعداد مستودع التسليم النهائي للجامعة بكافة الفروع والأدلة,2,Backend Lead
TAIZ-LEG-013,DEV,MUST,التزام حيادية المورد وتوفير التقنيات المفتوحة أو ما يعادلها,READY,الالتزام بالمعايير العالمية دون فرض أي تراخيص احتكارية,اعتماد حزمة التقنيات المفتوحة القياسية كخيارات مقترحة,1,Solutions Architect
TAIZ-FR-001,FR,MUST,الموقع الإلكتروني الرسمي لجامعة تعز كواجهة مركزية,FOUNDATION,الواجهة الحالية لكلية الحاسوب مبنية بـ React/Tailwind,ترقية البنية لموقع جامعي مؤسسي متكامل يمثل الجامعة,12,Frontend Lead
TAIZ-FR-002,FR,MUST,ثنائية اللغة الكاملة (عربي وإنجليزي) في كافة الواجهات,FOUNDATION,الواجهات الحالية بالعربية مع دعم محدود للنصوص الإنجليزية,بناء طبقة تدويل معيارية (next-intl) بقواميس متطابقة 100%,8,Frontend Lead
TAIZ-FR-003,FR,MUST,دعم كامل لاتجاهات النصوص RTL للعربية و LTR للإنجليزية,FOUNDATION,الكود الحالي مضبوط على RTL في Tailwind (dir=rtl),تفعيل التبديل التلقائي للـ dir وضبط هوامش ومحاذاة LTR,4,Frontend Lead
TAIZ-FR-004,UX,MUST,تصميم متجاوب 100% مع كافة الشاشات بمبدأ Mobile-First,FOUNDATION,الواجهات الحالية متجاوبة مع وجود مسارات مخصصة للهواتف,المحافظة على التجاوب وتطبيقه على قوالب الكليات الـ 25,4,Frontend Lead
TAIZ-FR-005,UX,MUST,نظام تصميم موحد (Design System) يعكس الهوية المؤسسية,FOUNDATION,مكتبة مكونات متسقة (أزرار، بطاقات، نوافذ) مبنية بـ Tailwind,توسيع النظام لدعم سمات الألوان المخصصة للكليات الفرعية,6,Frontend Lead
TAIZ-FR-006,UX,MUST,هيكل تصفح مرن وقوائم ذكية ومسارات تنقل Breadcrumbs,READY,التنقل الحالي ديناميكي ومبني على الأدوار ومسارات واضحة,تمديد المسارات لربط البوابة المركزية بمواقع الكليات الـ 25,3,Frontend Lead
TAIZ-FR-007,FR,MUST,محرك بحث داخلي متقدم للنصوص والأخبار واللوائح والبرامج,FOUNDATION,يوجد بحث نصي في الجداول والأخبار وسجلات الطلاب,دمج البحث النصي مع البحث الهجين والبحث المتجهي,7,Backend Lead
TAIZ-FR-008,FR,MUST,نظام إدارة محتوى لابرمدي مرن بنمط السحب والإفلات,TO_BUILD,إدارة المحتوى الحالية تعتمد نماذج بيانات CRUD وجداول,دمج محرر كتل مرئي (Block-based Builder) في لوحة الإدارة,16,Backend Lead
TAIZ-FR-009,FR,MUST,مكتبة وسائط متعددة ومستودع رقمي مركزي للملفات والصور,FOUNDATION,حفظ المرفقات في Supabase Storage مع أذونات وصول,بناء واجهة إدارة وسائط متطورة تدعم الوسوم وتخزين MinIO,8,Backend Lead
TAIZ-FR-010,DATA,MUST,إدارة مركزية للروابط والتحويلات التلقائية 301/302,TO_BUILD,الروابط محددة برمجياً ولا توجد وحدة تحويلات 301 ديناميكية,تطوير وحدة إدارة التحويلات الدائمة لمعالجة الروابط القديمة,5,Backend Lead
TAIZ-CMS-001,FR,MUST,منشئ الصفحة الرئيسية: تخصيص الهيدر والسلايدر والروابط,FOUNDATION,الصفحة الرئيسية الحالية ديناميكية ومبرمجة برمجياً,جعل كافة كتل الصفحة الرئيسية قابلة للتخصيص من اللوحة,6,Frontend Lead
TAIZ-CMS-002,FR,MUST,عرض الإحصائيات الجامعية الحية ديناميكياً من قواعد البيانات,READY,مطبق في لوحة الإدارة ويعرض إحصائيات الطلاب والعمليات,ربط المؤشرات بقواعد بيانات الكليات الـ 25 والبرامج,3,Backend Lead
TAIZ-CMS-003,FR,MUST,تخصيص كلمة رئيس الجامعة وأقسام الرسائل القيادية,READY,متوفر كقسم مخصص في واجهة الكلية وإدارته باللوحة,إتاحة التخصيص الكامل للصور والنصوص والترجمة,2,Frontend Lead
TAIZ-CMS-004,FR,MUST,إدارة الصفحات المؤسسية (الرؤية، الرسالة، الأهداف، الهيكل),READY,الصفحات المؤسسية متوفرة وقابلة للتعديل من لوحة الإدارة,توفير قوالب معيارية مسبقة التجهيز لكافة الكليات,2,Frontend Lead
TAIZ-CMS-005,FR,MUST,محرر نصوص متطور (WYSIWYG) يدعم الجداول والوسائط,READY,إدارة الأخبار متوفرة في src/routes/admin/news.tsx,دمج محرر Tiptap المتقدم لدعم الجداول والتنسيق المتقدم,4,Backend Lead
TAIZ-CMS-006,FR,MUST,مسار تدفق الموافقات على الأخبار (مسودة -> مراجعة -> نشر),FOUNDATION,محرك الحالات مبني ومختبر للطلبات والمجالس الأكاديمية,تعميم نفس محرك الحالات على مسار نشر المقالات والمحتوى,6,Backend Lead
TAIZ-CMS-007,FR,SHOULD,جدولة النشر التلقائي للأخبار والمقالات في موعد محدد,FOUNDATION,حقول تاريخ النشر متوفرة في قاعدة البيانات,تفعيل مهمة مجدولة دورية (Cron Job) لنشر المسودات المجدولة,3,Backend Lead
TAIZ-CMS-008,FR,SHOULD,دعم النشر متعدد القنوات ومشاركة المقالات اجتماعياً,READY,وسوم المشاركة وأزرار الشبكات الاجتماعية مفعلة,توليد بطاقات Open Graph لكل منصة تلقائياً,2,Frontend Lead
TAIZ-CMS-009,FR,MUST,إدارة الإعلانات والتعاميم وتصنيفها (عاجلة، أكاديمية، عامة),READY,مطبق في جدول announcements مع التحقق الصارم,ربط الإعلانات بنطاقات الكليات والمراكز الـ 25,3,Backend Lead
TAIZ-CMS-010,FR,MUST,استهداف جمهور الإعلانات (الطلاب، الأكاديميين، الموظفين),READY,مطبق في حقل target_audience وسياسات RLS,الحفاظ على نفس البنية وتوسيعها للمواقع الفرعية,2,Backend Lead
TAIZ-CMS-011,FR,MUST,تحديد تاريخ انتهاء الإعلانات والأرشفة التلقائية,READY,مطبق في فهارس idx_announcements_active_publish,تشغيل الأرشفة التلقائية للإعلانات منتهية التاريخ,2,Backend Lead
TAIZ-CMS-012,FR,MUST,إدارة الفعاليات والأنشطة الجامعية وتوثيق مواقعها,FOUNDATION,الفعاليات مدمجة ضمن التقويم الأكاديمي الحالي,بناء وحدة فعاليات مستقلة بالصور والمتحدثين والخرائط,5,Frontend Lead
TAIZ-CMS-013,FR,SHOULD,التقويم الأكاديمي التفاعلي ودعم تصدير iCal و Google Cal,FOUNDATION,التقويم الأكاديمي متوفر في جداول academic_terms,إضافة ميزة تصدير ملفات .ics والتكامل مع Google Calendar,4,Frontend Lead
TAIZ-CMS-014,FR,MAY,إتاحة التسجيل الإلكتروني في الفعاليات والندوات,FOUNDATION,نماذج التسجيل متوفرة برمجياً,ربط نموذج التسجيل بقاعدة بيانات الفعالية وإرسال تأكيد,3,Backend Lead
TAIZ-CMS-015,FR,MUST,دليل البرامج الأكاديمية والخطط وتوصيف المقررات والساعات,READY,مغطى بالكامل في نماذج departments, programs, study_plans,توفير شاشات عرض تفاعلية جذابة للخطط والتوصيفات,4,Backend Lead
TAIZ-CMS-016,FR,MUST,دليل أعضاء هيئة التدريس وصفحاتهم وسيرهم وساعاتهم,FOUNDATION,ملفات الكادر متوفرة في profiles و faculty_members,إضافة حقول الساعات المكتبية والاهتمامات البحثية,4,Backend Lead
TAIZ-CMS-017,FR,MUST,ربط الملفات الشخصية بـ Google Scholar و ORCID و Scopus,FOUNDATION,توثيق الروابط الخارجية موجود في النماذج,إضافة حقول المعرفات الأكاديمية المباشرة في البروفايل,3,Backend Lead
TAIZ-CMS-018,OPS,MUST,توليد مصغرات الصور والأبعاد المتعددة تلقائياً,FOUNDATION,معالجة الصور تتم عبر مكتبات المتصفح وخادم السحاب,إعداد خدمة معالجة صور تلقائية تولد نسخ WebP محسنة,4,DevOps Specialist
TAIZ-CMS-019,FR,MUST,منشئ النماذج والاستبيانات التفاعلية Dynamic Form Builder,TO_BUILD,النماذج الحالية مبنية برمجياً بشكل ثابت,تطوير وحدة بناء النماذج الديناميكية مع تخزين JSONSchema,12,Backend Lead
TAIZ-CMS-020,FR,MUST,التحقق اللحظي من صحة النماذج وتصدير الردود CSV/Excel,TO_BUILD,التصدير متوفر للجداول الحالية فقط,تفعيل التحقق المباشر من الحقول وتصدير نتائج الاستبيانات,5,Backend Lead
TAIZ-CMS-021,FR,MUST,قاعدة معرفية تفاعلية للأسئلة الشائعة FAQ مصنفة,FOUNDATION,صفحة الأسئلة الشائعة متوفرة كصفحة ثابتة,تحويلها إلى وحدة قاعدة بيانات ديناميكية تصنف حسب الكلية,4,Frontend Lead
TAIZ-CMS-022,AI,MUST,ربط FAQ بمحرك البحث والذكاء الاصطناعي للرد الفوري,FOUNDATION,البحث النصي يشمل محتوى الصفحات,تغذية متجهات محرك الذكاء الاصطناعي بالأسئلة وإجاباتها آلياً,4,AI Specialist
TAIZ-CMS-023,SEC,MUST,سجل تدقيق تاريخي غير قابل للتعديل Audit Trail لـ CMS,READY,مطبق في جدول audit_logs مع تريجرات قواعد البيانات,تعميم تتبع العمليات على كافة المواقع الفرعية الـ 25,2,Backend Lead
TAIZ-MS-001,FR,MUST,إدارة مركزية لـ 25 موقعاً وفرعاً للكليات والمراكز,FOUNDATION,النظام الحالي يدير كلية واحدة بنمط منغلق (Fail-Closed),إنشاء نموذج المستأجرين (tenants/sites) وربط الكيانات بـ site_id,14,Solutions Architect
TAIZ-MS-002,FR,MUST,حوكمة مركزية للسياسات مع استقلالية محلية في المحتوى,FOUNDATION,يوجد فصل صلاحيات على مستوى الكلية وأدوار المستخدمين,تمديد سياسات RLS لدعم نطاق الموقع (site_scoped_role),7,Backend Lead
TAIZ-MS-003,UX,MUST,محرك قوالب موحد يدعم الهوية وتخصيص سمات الكليات,FOUNDATION,قوالب الواجهة موحدة وتعتمد Tailwind و CSS Variables,بناء محرك سمات (Theme Engine) يقرأ هوية الكلية ويطبقها,6,Frontend Lead
TAIZ-MS-004,OPS,MUST,دعم النطاقات الفرعية التلقائية (مثل med.taiz.edu.ye),FOUNDATION,التوجيه الحالي يعتمد على المسارات الفرعية في SPA,إعداد توجيه النطاقات المتعددة (Subdomain Middleware) في Next.js,5,DevOps Specialist
TAIZ-MS-005,OPS,SHOULD,دعم ربط نطاقات مخصصة (Custom Domains) للمراكز المستقلة,FOUNDATION,البنية التحتية تدعم إضافة خوادم وهمية Nginx,إعداد دعم النطاقات المخصصة وتوجيه شهادات SSL التلقائية,4,DevOps Specialist
TAIZ-MS-006,SEC,MUST,إدارة هرمية للصلاحيات المحلية على مستوى الموقع الفرعي,FOUNDATION,مصفوفة الأدوار تدعم: عميد، رئيس قسم، مسجل، مدرس، موظف,تعيين أدوار المستخدمين ضمن نطاق الموقع (user_site_roles),5,Backend Lead
TAIZ-MS-007,FR,MUST,ميزة البحث الثنائي (البحث الموضعي أو البحث الشامل),FOUNDATION,البحث الحالي يعمل ضمن نطاق الكلية المفردة,إضافة فلتر site_id على استعلامات البحث للتبديل بين النطاقين,4,Backend Lead
TAIZ-MS-008,FR,MUST,ميزة التعميم المركزي للأخبار والإعلانات بنقرة واحدة,FOUNDATION,الإعلانات تدعم target_audience في announcements,إضافة حقل is_global_broadcast لنشر التعاميم على كافة الفروع,3,Backend Lead
TAIZ-MS-009.1,FR,MUST,تدشين المواقع 1: إدخال اسم وبيانات الموقع باللغتين,FOUNDATION,إدخال بيانات الكلية متوفر عبر لوحة الإدارة,بناء واجهة المعالج الآلي (Provisioning Wizard) خطوة 1,2,Frontend Lead
TAIZ-MS-009.2,UX,MUST,تدشين المواقع 2: اختيار القالب وضبط ألوان الكلية,FOUNDATION,السمات مبنية بمتغيرات CSS,واجهة المعالج الآلي خطوة 2 لتخصيص الألوان والشعار,2,Frontend Lead
TAIZ-MS-009.3,OPS,MUST,تدشين المواقع 3: توليد النطاق الفرعي وإعدادات DNS,FOUNDATION,الربط يتم عبر خوادم الويب,أتمتة إنشاء النطاق الفرعي وشهادة SSL عبر المعالج خطوة 3,3,DevOps Specialist
TAIZ-MS-009.4,SEC,MUST,تدشين المواقع 4: تعيين مدير الموقع ومحرري الكلية,FOUNDATION,إدارة المستخدمين وتعيين الأدوار متوفرة في النظام,تعيين طاقم الكلية وربط صلاحياتهم بالموقع خطوة 4,2,Backend Lead
TAIZ-MS-009.5,FR,MUST,تدشين المواقع 5: إعداد الأقسام والهيكل الأكاديمي,READY,إدارة الأقسام والبرامج والخطط جاهزة بالكامل,ربط الهيكل الأكاديمي بالموقع الفرعي خطوة 5,2,Backend Lead
TAIZ-MS-009.6,FR,MUST,تدشين المواقع 6: تكوين وبناء قوائم التصفح للموقع,READY,بناء القوائم الديناميكية متوفر,تخصيص روابط وتصفح الموقع الفرعي خطوة 6,2,Frontend Lead
TAIZ-MS-009.7,A11Y,MUST,تدشين المواقع 7: الفحص الأوتوماتيكي للنفاذية WCAG 2.2 AA,FOUNDATION,أدوات التدقيق متوفرة أثناء التطوير,تشغيل فحص axe-core آلي للموقع قبل النشر خطوة 7,3,Frontend Lead
TAIZ-MS-009.8,FR,MUST,تدشين المواقع 8: مراجعة المحتوى والصفحات التجريبية,READY,وضع المعاينة متوفر في لوحة التحكم,مراجعة واعتماد النسخة التجريبية للموقع خطوة 8,1,Frontend Lead
TAIZ-MS-009.9,OPS,MUST,تدشين المواقع 9: الإطلاق الرسمي والتدشين بنقرة واحدة,FOUNDATION,النشر الفوري متوفر,تفعيل الموقع حياً وربطه بالبحث العام خطوة 9,2,DevOps Specialist
TAIZ-MS-010,OPS,MUST,عزل مساحات التخزين والوسائط لكل كلية ضمن MinIO/S3,FOUNDATION,التخزين الحالي معزول بسياسات Supabase Storage,إنشاء Buckets مستقلة أو مجلدات معزولة لكل كلية في MinIO,3,DevOps Specialist
TAIZ-PORT-001,FR,MUST,بوابة الطالب الجامعية الشاملة (الملف، الجدول، النتائج),READY,مطبقة في مسارات src/routes/student.*.tsx,تكييف الواجهات لربط سجلات طلاب جامعة تعز عبر API,5,Frontend Lead
TAIZ-PORT-002,FR,MUST,عرض السجل الأكاديمي وكشف الدرجات الفصلي والتراكمي,READY,مطبق بالكامل في واجهة كشف الدرجات واحتساب المعدل,قراءة الدرجات من موصلات SIS بنمط Read-Only وعرضها,3,Frontend Lead
TAIZ-PORT-003,FR,MUST,تقديم ومتابعة الطلبات والخدمات الطلابية الإلكترونية,READY,مطبق ومختبر بـ 900+ فحص آلي في tests/student-requests/,تغذية النظام بقائمة الخدمات الخاصة بلائحة جامعة تعز,3,Backend Lead
TAIZ-PORT-004,FR,MUST,إصدار الإفادات والشهادات المعتمدة بـ QR ورابط تحقق آمن,READY,مطبق في src/lib/student-requests/issuance.ts,تكييف القالب الرسومي للشهادات بهوية وأختام جامعة تعز,3,Backend Lead
TAIZ-PORT-005,FR,MUST,بوابة الكادر الأكاديمي (المقررات، الدرجات، الحضور، المجالس),READY,مطبقة في مسارات src/routes/faculty-portal.*.tsx,ربط الشعب الدراسية وجداول الأكاديميين في جامعة تعز,4,Frontend Lead
TAIZ-PORT-006,FR,SHOULD,رصد وتقييم الحضور والغياب للطلاب وإشعار الحرمان,READY,وحدة الحضور والغياب مطبقة في بوابة الكادر,تفعيل تنبيهات الحرمان الآلية وفق اللائحة الموحدة,3,Backend Lead
TAIZ-PORT-007,FR,MUST,مسار رصد ومراجعة الدرجات واعتمادها من مجالس الأقسام,READY,مطبق في مسارات رصد النتائج واعتماد مجالس الأقسام,الحفاظ على مسار الاعتماد وتوثيق محاضر المجالس,3,Backend Lead
TAIZ-PORT-008,FR,MUST,إدارة وتوزيع مشاريع التخرج للطلاب والإشراف والتقييم,READY,مطبق في src/routes/faculty-portal.projects.tsx,تعميم الوحدة على كافة كليات وأقسام جامعة تعز,3,Backend Lead
TAIZ-PORT-009,FR,MUST,بوابة الموظفين والإداريين (الخدمات، الإجازات، المراسلات),READY,مطبقة في مسارات src/routes/staff.*.tsx,ربط الموظفين بهيكل الوحدات الإدارية المركزية لجامعة تعز,4,Frontend Lead
TAIZ-PORT-010,FR,MUST,صندوق مهام موحد للموظف لمعالجة الطلبات المحالة لدوره,READY,مطبق في صندوق المهام والوارد بصلاحيات الأدوار,توزيع المعاملات على موظفي الكليات والوحدات المركزية,3,Frontend Lead
TAIZ-PORT-011,SEC,MUST,نظام الدخول الموحد المؤسسي (SSO عبر Keycloak / OIDC),FOUNDATION,المصادقة الحالية تعتمد Supabase Auth بـ JWT محلي,دمج خادم Keycloak IAM عبر بروتوكول OIDC لتوحيد الدخول,10,Backend Lead
TAIZ-PORT-012,SEC,MUST,فرض المصادقة الثنائية الإلزامية (MFA عبر TOTP / OTP),FOUNDATION,البنية التحتية تدعم MFA على مستوى المزود,فرض سياسة MFA الإلزامية لحسابات الإدارة والأكاديميين,4,Backend Lead
TAIZ-PORT-013,FR,MUST,محرك مسار تدفق الخدمات الشامل (دورة الحياة الكاملة),READY,محرك الحالات مبني ومختبر بالكامل لكافة مراحل الخدمة,إعادة استخدام نفس المحرك المعتمد لخدمات جامعة تعز,3,Backend Lead
TAIZ-PORT-014,FR,MUST,تخصيص مسارات الموافقات وتعيين الأدوار دون تعديل الكود,READY,مطبق عبر جداول service_workflows و processing_roles,توفير واجهة مستخدم رسومية لتعديل مسارات الخدمات,5,Backend Lead
TAIZ-PORT-015,DEV,MUST,فصل الخدمات الأصيلة عن خدمات التكامل مع SIS/HR,READY,معمارية النظام تفصل الخدمات الداخلية عن الخارجية,الحفاظ على مبدأ الفصل واستخدام جداول Read-Only Views,2,Solutions Architect
TAIZ-PORT-016,FR,MUST,توجيه الطالب للسداد في النظام المالي والتحقق اليدوي,READY,لا توجد بوابة دفع؛ التوجيه لنظام الجامعة والتحقق بـ payment_confirmation,مطابقة سياسة الكراسة بمنع إنشاء بيانات مالية وهمية,1,Backend Lead
TAIZ-AI-001,AI,MUST,المساعد الافتراضي والدردشة الذكية باستضافة محلية On-Premises,TO_BUILD,يوجد تصميم معماري متكامل لخدمات الذكاء الاصطناعي,نشر خادم استضافة محلي (vLLM / Ollama) بنموذج مفتوح المصدر,12,AI Specialist
TAIZ-AI-002,SEC,MUST,حظر تسريب أو إرسال بيانات الجامعة لخدمات سحابية خارجية,TO_BUILD,السياسة الأمنية تحظر استدعاء APIs خارجية للبيانات الحساسة,تشغيل كافة النماذج محلياً على شبكة الجامعة المعزولة,4,AI Specialist
TAIZ-AI-003,AI,MUST,استخدام قاعدة بيانات متجهات متخصصة مفتوحة المصدر (Qdrant),TO_BUILD,قاعدة البيانات الحالية PostgreSQL,نشر عنقود Qdrant كخادم متجهات متخصص عالي الأداء,6,AI Specialist
TAIZ-AI-004,AI,MUST,استخدام نماذج لغوية مفتوحة قابلة للاستضافة (Llama 3 / Qwen 2.5),TO_BUILD,التوثيق المعماري يحدد النماذج مفتوحة المصدر,ضبط ونشر نموذج التوليد Qwen 2.5 32B/72B أو Llama 3.1,8,AI Specialist
TAIZ-AI-005,AI,MUST,استخدام نموذج تضمين متعدد اللغات يدعم العربية (bge-m3),TO_BUILD,تم فحص وتجربة نماذج التضمين العربية,نشر وضبط نموذج التضمين العربي bge-m3 لتوليد المتجهات,6,AI Specialist
TAIZ-AI-006,AI,MUST,منع الهلوسة وحظر التوليد الحر وحصر الردود بلوائح الجامعة,TO_BUILD,تم إعداد موجهات البرومبت الصارمة (Strict Grounding),تطبيق هندسة سياق صارمة ترفض الإجابة عند عدم وجود سند,7,AI Specialist
TAIZ-AI-007,AI,MUST,رفض الإجابة الصريح عند عدم وجود سند رسمي في قاعدة المعرفة,TO_BUILD,صياغة قوالب الرد الصريح بعدم توفر معلومة رسمية,برمجة حواجز الحماية (Guardrails) لمنع التخمين أو التوليد الحر,5,AI Specialist
TAIZ-AI-008,AI,MUST,إسناد المصادر والاستشهاد بروابط وأرقام مواد اللائحة في كل رد,TO_BUILD,معيار توثيق مصادر البيانات محدد في المعمارية,بناء أنبوب البيانات الوصفية لإرفاق أرقام المواد وروابط PDF,5,AI Specialist
TAIZ-AI-009,AI,MUST,المعالجة الصرفية للغة العربية واستخراج الجذور (Farasa),TO_BUILD,تم اختبار مكتبة Farasa على عينات نصوص أكاديمية,دمج Farasa في أنبوب تجزئة النصوص واستخلاص الجذور,7,AI Specialist
TAIZ-AI-010,AI,MUST,محرك البحث الهجين (BM25 + Dense Vector عبر RRF),TO_BUILD,البحث النصي مدعوم في PostgreSQL بـ Full-Text Search,دمج استعلامات BM25 مع متجهات Qdrant عبر خوارزمية RRF,7,AI Specialist
TAIZ-AI-011,AI,MUST,قاعدة المعرفة المركزية وتوثيق المالك والتحديث التلقائي,TO_BUILD,لوائح الكلية مخزنة في النظام الحالي,بناء خدمة تلقائية تستشعر تعديل اللائحة وتعيد حساب متجهاتها,6,AI Specialist
