request_id,withdrawal_reason,impact_ack,library_cleared_at,labs_cleared_at,activities_cleared_at,finance_cleared_at,records_transferred_at,notes,created_at,updated_at,effect_applied_at
0f7f11f3-1cdd-492e-a971-5d4479c7e155,TEST_ONLY سحب ملف,t,,,,,,,2026-07-27 10:54:04.082891+00,2026-07-27 10:54:04.197882+00,
4cf1fda2-0218-4403-a676-a6697b08aa34,اختبار تسليم أول - سحب ملف TEST_ONLY لأغراض التحقق فقط,t,,,,,,,2026-07-27 07:53:11.708715+00,2026-07-27 07:53:11.833723+00,
53710937-4a69-4fc6-96b1-c2727c551c6e,TEST_ONLY سحب ملف,t,2026-07-27 10:59:59.312359+00,2026-07-27 11:00:00.811177+00,2026-07-27 11:00:02.399359+00,2026-07-27 11:00:03.912663+00,2026-07-27 11:00:05.363295+00,,2026-07-27 10:59:56.248895+00,2026-07-27 11:00:05.363295+00,2026-07-27 11:00:05.363295+00
54b96b02-872d-4c8e-b326-98e3e4986afa,TEST_ONLY سحب ملف,t,2026-07-27 10:59:05.591701+00,2026-07-27 10:59:06.902029+00,2026-07-27 10:59:08.193177+00,2026-07-27 10:59:09.410644+00,2026-07-27 10:59:10.666773+00,,2026-07-27 10:59:02.759669+00,2026-07-27 10:59:10.666773+00,2026-07-27 10:59:10.666773+00
7df02398-bf56-4c75-b63b-f5ec20e39360,TEST_ONLY سحب ملف,t,2026-07-27 10:56:20.66571+00,2026-07-27 10:56:22.003457+00,2026-07-27 10:56:23.329384+00,2026-07-27 10:56:24.614152+00,2026-07-27 10:56:25.895101+00,,2026-07-27 10:56:17.929095+00,2026-07-27 10:56:25.895101+00,2026-07-27 10:56:25.895101+00
7fce2743-1940-488d-b434-aba98967985d,سبب اختباري لسحب الملف ضمن حساب TEST_ONLY معزول لأغراض التحقق التشغيلي فقط.,t,,,,,,,2026-07-27 17:00:01.852089+00,2026-07-27 20:00:49.798258+00,
85d7068a-8443-4a96-b3bb-b7c658616820,اختبار تسليم أول - سحب ملف TEST_ONLY لأغراض التحقق فقط,t,,,,,,,2026-07-27 07:50:08.981694+00,2026-07-27 07:50:09.100699+00,
96eec10e-5552-40b6-9a40-61011a68e798,سبب اختباري TEST_ONLY لأغراض التحقق من الحفظ.,t,,,,,,,2026-07-27 16:41:19.988788+00,2026-07-27 16:41:19.988788+00,
ade49963-0a68-4c87-a24b-5e067c1be7fd,TEST_ONLY سحب ملف,t,,,,,,,2026-07-27 10:52:19.796507+00,2026-07-27 10:53:16.136209+00,
f2a8e4bb-b305-4dc9-8ec7-570a2c35c993,TEST_ONLY سحب ملف,t,2026-07-27 10:57:43.093706+00,2026-07-27 10:57:44.549893+00,2026-07-27 10:57:45.946709+00,2026-07-27 10:57:47.37937+00,2026-07-27 10:57:48.743794+00,,2026-07-27 10:57:40.154515+00,2026-07-27 10:57:48.743794+00,2026-07-27 10:57:48.743794+00
