Requirement_ID,Page_Number,Requirement_Summary,Compliance_Status,Repo_Evidence_Path,Reusable_Asset_Description,Technical_Gap_Description,Required_Action,Effort_Size,Strategy_Build_Buy_Partner,Risk_Level,Impact_On_Score,Demo_Required,Third_Party_Audit_Required
REQ-ADM-001,3,المرجعية لقانون المناقصات اليمني 23 لسنة 2007,UNKNOWN_NEEDS_EVIDENCE,docs/tender/taiz-2026/analysis/,لا يوجد شفرة برمجية - شأن قانوني تعاقدي,يتطلب إقراراً قانونياً رسمياً مختوماً من الممثل القانوني للشركة,صياغة واعتماد إقرار الالتزام بالقانون رقم 23 لسنة 2007 وإدراجه بالمظروف الفني,S,Build,HIGH,شرط استبعاد فوري (Pass/Fail),No,No
REQ-ADM-002,3,تكافؤ الفرص والحيادية (Vendor-Neutral),COMPLIANT,"package.json, src/components/ui/","اعتماد حزمة تقنيات مفتوحة المصدر (React, Tailwind, PostgreSQL)",توثيق الحيادية في وثيقة المعمارية D-05 وتأكيد عدم وجود تراخيص مغلقة,إعداد فصل الحيادية البرمجية في العرض الفني,S,Build,LOW,معيار المعمارية (25%),No,No
REQ-ADM-003,"3, 23, 28, 42",الملكية الفكرية الكاملة للشفرة المصدرية (Full Source Code Git),COMPLIANT,"AGENTS.md, .git/, src/, supabase/",مستودع Git كامل جاهز للتسليم مع كامل الأكواد والتوثيق والـ Migrations,تجهيز مستودع نظيف وخالٍ من أي مفاتيح سرية خاصة وتسليمه مع سكريبتات البناء,إعداد إقرار التنازل عن الملكية الفكرية وتسليم مستودع Git موثق عند الإطلاق,S,Build,HIGH,شرط تعاقدي إلزامي لصرف الدفعة الختامية (10%),No,No
REQ-ADM-004,"3, 35, 36",البطاقات القانونية (الضريبية والزكوية والتأمينية وضريبة المبيعات),UNKNOWN_NEEDS_EVIDENCE,N/A (Corporate Evidence),لا يوجد بالمستودع - وثائق ورقية رسمية خاصة بالكيان التجاري,الحصول على أصول/صور معمدة من البطاقات القانونية سارية المفعول داخل اليمن,استخراج وتجديد وتعميد البطاقات القانونية الأربع وإدراجها بالمظروف الفني,M,Partner,CRITICAL,شرط استبعاد فوري في جلسة فتح المظاريف (Pass/Fail),No,Yes
REQ-ADM-005,"3, 35, 36",السجل التجاري وترخيص تقنية المعلومات,UNKNOWN_NEEDS_EVIDENCE,N/A (Corporate Evidence),لا يوجد بالمستودع - سجل تجاري وقيد مهني,توفير سجل تجاري مجدد لعام 2026م بنشاط تكنولوجيا المعلومات والبرمجيات,تجديد السجل التجاري وإرفاق شهادة مزاولة المهنة,M,Partner,CRITICAL,شرط استبعاد فوري (Pass/Fail),No,Yes
REQ-ADM-006,"3, 29, 35, 36",سابقة الأعمال الموثقة بـ 3 شهادات إنجاز لمشاريع جامعية/ضخمة,UNKNOWN_NEEDS_EVIDENCE,docs/ (تقارير مشاريع سابقة ولكن بدون شهادات إنجاز رسمية),وجود الخبرة الفنية البرمجية في إدارة البوابات الأكاديمية (Saba Portal),غياب 3 شهادات إنجاز واستلام نهائي رسمية معتمدة ومختومة من جامعات/مؤسسات,استخراج وتجهيز 3 شهادات إنجاز رسمية لمشاريع بوابات مماثلة مع بيانات مسؤولي التواصل,XL,Partner,CRITICAL,فقدان 20% كاملة من التقييم الفني والهبوط دون 75/100,No,Yes
REQ-ADM-007,"3, 35, 36, 37, 42",الضمان البنكي الابتدائي بنسبة 2% وسارٍ لـ 90 يوماً,UNKNOWN_NEEDS_EVIDENCE,N/A (Financial Instrument),لا يوجد بالمستودع - ضمان بنكي صادر من بنك معتمد,إصدار خطاب الضمان البنكي بقيمة 2% من إجمالي العطاء سارٍ لـ 90 يوماً,الترتيب مع بنك معتمد في تعز/عدن لإصدار الضمان الابتدائي ووضعه بالمظروف المالي/الفني,L,Partner,CRITICAL,بطلان واستبعاد العطاء فوراً عند فتح المظاريف,No,Yes
REQ-ADM-008,"3, 36, 42",نظام المظاريف المغلقة بالشمع الأحمر,COMPLIANT,docs/tender/taiz-2026/analysis/TAIZ_TENDER_02_ELIGIBILITY_CHECKLIST.md,إجراءات التقديم محددة ومدرجة في دليل إعداد العطاء,الالتزام بالإغلاق المحكم والتختيم بالشمع الأحمر والفصل التام,تجهيز المظروفين وطباعتهما والتختيم بالشمع الأحمر وفق الأصول القانونية,S,Build,HIGH,شرط شكلي إلزامي للقبول,No,No
REQ-ADM-009,42,ضمان حسن التنفيذ بنسبة 10% عند الترسية,UNKNOWN_NEEDS_EVIDENCE,N/A (Financial Instrument),تعهد رسمي ضمن نموذج إقرار العطاء المالي,توفير التسهيلات البنكية لإصدار ضمان الـ 10% فور إشعار الترسية,توقيع التعهد وإدراج خطاب الاعتماد البنكي,M,Partner,HIGH,إلغاء الترسية ومصادرة الضمان الابتدائي في حال العجز,No,Yes
REQ-SCP-001,"2, 3, 4, 23",النطاق الشامل للمنظومة الرقمية الجامعية,PARTIALLY_COMPLIANT,"src/, supabase/, docs/",بوابة طالب، بوابة أكاديمي، إدارة مجالس، طلبات إلكترونية، وخدمات تخرج,نقص الموقع الرئيسي، نظام Multi-Site لـ 25 موقع، ومحرك RAG السيادي، والـ API Gateway,تطوير وحدات الـ CMS والمواقع الفرعية ودمج محرك RAG وبوابة الـ APIs,XL,Build,HIGH,تغطية النطاق العام (25%),Yes,No
REQ-ARC-001,"4, 5, 24, 25",معمارية Modular Monolith القابلة للتوسع,COMPLIANT,"src/lib/, src/components/, src/routes/","هيكل النظام منظم بموديولات مستقلة (academic, councils, student-requests, reports, security)",توثيق حدود الموديولات (Module Boundaries) ورسم المخططات الهندسية الرسمية,إعداد وثيقة التصميم المعماري D-05 وتوضيح استقلالية الوحدات,S,Build,LOW,معيار المعمارية والمنهجية (25%),No,No
REQ-ARC-002,"5, 6, 24, 25",حزمة التقنيات المعتمدة (Next.js/React + Tailwind + PostgreSQL + Redis),PARTIALLY_COMPLIANT,"package.json, src/, supabase/","استخدام React 19, TailwindCSS 4, TanStack, PostgreSQL/Supabase, TypeScript",الانتقال إلى Next.js App Router للموقع والـ CMS وإضافة Redis Cluster للكاشينج,تكييف واجهات الموقع والـ CMS على Next.js وضبط طبقة Redis للكاش,M,Build,MEDIUM,معيار المعمارية والمنهجية (25%),Yes,No
REQ-ARC-003,"5, 6, 7, 24, 25",بيئة الحاويات Docker و Kubernetes والأتمتة,NOT_COMPLIANT,N/A (Dockerfile/Helm charts missing),وجود سكريبتات إعداد بيئة محلية,غياب ملفات Dockerfiles المحسنة وملفات Helm Charts لتشغيل K8s و HPA محلياً,كتابة وتجهيز Dockerfile متعدد المراحل وإنشاء Helm Charts لنشر المنظومة على K8s,M,Build,MEDIUM,الأمن السيبراني والأداء (15%),Yes,No
REQ-ARC-004,"5, 6, 24, 25",تخزين الوسائط والأصول الرقمية عبر MinIO (S3-Compatible),PARTIALLY_COMPLIANT,"supabase/storage, src/lib/documents/",بنية تخزين المستندات والوثائق وسياسات الأمان والتوقيع المشفر,تحويل موصل التخزين إلى خادم MinIO محلي متوافق مع بروتوكول S3 مع تشفير الأصول,تكوين سيرفر MinIO وربطه بالواجهات ونظام التخزين,S,Build,LOW,المعمارية والمنهجية,No,No
REQ-FR-001,"8, 23, 26, 37",توفير موقع إلكتروني رسمي متكامل لجامعة تعز,NOT_COMPLIANT,"src/components/brand/, src/components/site/",مكونات العلامة التجارية وتنسيقات الألوان والخطوط وهوية الواجهة,عدم وجود صفحات الموقع الرسمي العام (نبذة، القيادة، اللوائح، المراكز، الأخبار),بناء صفحات الموقع الرئيسي المؤسسي لجامعة تعز ونظام القوالب المرئي,L,Build,HIGH,المعمارية والمنهجية (25%),Yes,No
REQ-FR-002,"8, 14, 15, 23, 24, 26, 37",منصة إدارة محتوى متعددة المواقع لـ 25 موقعاً فرعياً (RTM-01),NOT_COMPLIANT,N/A (Single-tenant portal currently),نظام إدارة الصلاحيات الهرمي وربط المستخدمين بالكليات,غياب معمارية الـ Multi-Tenant لإنشاء وإدارة 25 موقعاً فرعياً عبر Subdomains بضغطة زر,بناء محرك Multi-Site Tenant Manager مع توجيه الـ Subdomains ونظام القوالب المعزولة,XL,Build,CRITICAL,معيار RTM-01 الرئيسي (25%),Yes,No
REQ-FR-003,"8, 9, 10, 11, 12, 23, 26, 37",محرر محتوى مرن (WYSIWYG/Block) وسير عمل النشر والمسودات,NOT_COMPLIANT,src/components/documents/,هياكل معالجة النصوص وعرض الوثائق,غياب محرر صفحات مرئي تفاعلي (Block Editor) ودورة حياة النشر (Draft -> Review -> Approval -> Publish),دمج محرر Tiptap/BlockNote مع محرك سير عمل النشر ومقارنة الإصدارات (Diff),L,Build,HIGH,المعمارية والمنهجية (25%),Yes,No
REQ-FR-004,"8, 9, 10, 11, 37",إدارة الأخبار، الإعلانات، الفعاليات والتقويم الجامعي,PARTIALLY_COMPLIANT,"src/components/communications/, src/components/schedule/",مكونات التقويم والجداول الزمنية ونظام الإشعارات المبدئي,عدم وجود لوحة CMS لإدارة الأخبار والفعاليات ونشرها عبر المواقع الفرعية المستهدفة,تطوير وحدات الأخبار والفعاليات والإعلانات العاجلة وتكاملها مع التقويم والـ CMS,M,Build,MEDIUM,المعمارية والمنهجية (25%),Yes,No
