Requirement_ID,Page_Number,Section_Reference,Category,Obligation_Level,Requirement_Title,Requirement_Description,Delivery_Phase,Responsible_Role,Evaluation_Criterion,Weight_Percentage,Required_Evidence,Acceptance_Criteria,Dependency,Risk_Level,Source_Confidence
REQ-ADM-001,3,وثائق الطرح والتعليمات العامة - 1.1 المبادئ العامة,Administrative,MUST,المرجعية التشريعية لقانون المناقصات اليمني,الخضوع التام لأحكام قانون المناقصات والمزايدات والمخازن الحكومية اليمني رقم (23) لسنة 2007م ولائحته التنفيذية.,Tender Submission,Project Manager,الشروط العامة والقانونية,Pass/Fail,إقرار رسمي بالالتزام بالقانون رقم 23 لسنة 2007م مختوم من الشركة,استيفاء كافة النصوص القانونية دون أي تحفظ أو اشتراط مخالف للائحة التنفيذية,None,HIGH,HIGH
REQ-ADM-002,3,وثائق الطرح والتعليمات العامة - 1.1 المبادئ العامة,Administrative,MUST,تكافؤ الفرص والحيادية (Vendor-Neutral),تصميم الحل والمكونات وفق أسلوب محايد للعلامات التجارية دون احتكار لأي طرف، وأي إشارة لمواصفات معينة تعني 'أو ما يعادلها'.,Phase 1 (W1-W4),Solutions Architect,المعمارية والمنهجية,25%,وثيقة معمارية النظام ومواصفات المكونات مفتوحة المصدر والحيادية,اعتماد اللجنة الفنية لحيادية البرمجيات وعدم تقييد الجامعة برخص مغلقة,None,HIGH,HIGH
REQ-ADM-003,"3, 23, 28, 42",وثائق الطرح - الملكية الفكرية والشفرة المصدرية,Legal,MUST,الملكية الحصرية والمطلقة للشفرة المصدرية (Full Source Code Git),تعود جميع المخرجات والشفرات المصدرية والأصول الرقمية والوثائق الناتجة عن المشروع ملكية حصرية ومطلقة لجامعة تعز دون أي حقوق حصرية للشركة أو أي أجزاء مغلقة.,Phase 6 (W29-W32),Project Manager,الشروط العامة ونقل الملكية,Pass/Fail,إقرار نقل الملكية الفكرية، محضر تسليم مستودع Git بكافة الأكواد الموثقة وسكريبتات البناء والتشغيل,استلام الشفرة المصدرية كاملة 100% بدون أي ملفات ثنائية مشفرة أو مغلقة مع حق الجامعة الكامل في التعديل والتطوير,None,HIGH,HIGH
REQ-ADM-004,"3, 35, 36",وثائق الطرح - 1.2 مؤهلات المشاركة والوثائق المطلوبة,Administrative,MUST,تقديم البطاقة الضريبية والزكوية والتأمينية سارية المفعول,تقديم أصل أو صور معمدة من البطاقة الضريبية والبطاقة الزكوية والبطاقة التأمينية وشهادة تسجيل ضريبة المبيعات سارية المفعول داخل الجمهورية اليمنية.,Tender Submission,Project Manager,التأهيل القانوني والمبدئي,Pass/Fail,أصول/صور معمدة سارية المفعول للبطاقات الضريبية والزكوية والتأمينية وضريبة المبيعات,سريان كافة الوثائق القانونية حتى تاريخ فتح المظاريف على الأقل واستيفاء مطابقة فحص اللجنة,None,HIGH,HIGH
REQ-ADM-005,"3, 35, 36",وثائق الطرح - 1.2 مؤهلات المشاركة,Administrative,MUST,السجل التجاري وترخيص مزاولة النشاط في تقنية المعلومات,تقديم سجل تجاري مجدد وساري المفعول وترخيص مزاولة النشاط في مجال تقنية المعلومات والبرمجيات.,Tender Submission,Project Manager,التأهيل القانوني والمبدئي,Pass/Fail,أصل/صورة معمدة من السجل التجاري المجدد وترخيص تقنية المعلومات,تطابق النشاط التجاري المصرح به مع طبيعة موضوع المناقصة وسريان القيد,None,HIGH,HIGH
REQ-ADM-006,"3, 29, 35, 36",وثائق الطرح - 1.2 سابقة الأعمال,Administrative,MUST,سابقة أعمال موثقة بـ 3 شهادات إنجاز لمشاريع جامعية/بوابات ضخمة,تقديم جدول سابقة أعمال رسمي موثق بثلاث (3) شهادات إنجاز واستلام نهائي لمشاريع مماثلة في تطوير المنصات الجامعية أو البوابات الرقمية الضخمة.,Tender Submission,Project Manager,خبرة الشركة وسابقة الأعمال,20%,3 شهادات إنجاز واستلام رسمي موثقة ومعتمدة من جهات حكومية/جامعية مع بيانات التواصل,تحقق اللجنة الفنية من سابقة الأعمال ومطابقة النطاق للمنصات الرقمية الكبرى وحصول العطاء على درجة التأهيل,None,HIGH,HIGH
REQ-ADM-007,"3, 35, 36, 37, 42",وثائق الطرح - 1.3 تقديم العطاءات والضمان الابتدائي,Financial,MUST,الضمان البنكي الابتدائي بنسبة 2% وسارٍ لـ 90 يوماً,تقديم أصل ضمان بنكي ابتدائي غير مشروط وغير قابل للإلغاء بنسبة لا تقل عن (2%) من إجمالي قيمة العطاء، وسارٍ لمدة لا تقل عن (90) يوماً من تاريخ فتح المظاريف، أو شيك مقبول الدفع باسم جامعة تعز.,Tender Submission,Project Manager,الضمان الابتدائي والشروط المالية,Pass/Fail,أصل خطاب الضمان البنكي الصادر من بنك معتمد لدى البنك المركزي اليمني ساري لـ 90 يوماً,مطابقة قيمة الضمان للنسبة المحددة (2%) والتزامه بالصيغة القانونية غير المشروطة وسريان المدة,None,HIGH,HIGH
REQ-ADM-008,"3, 36, 42",وثائق الطرح - نظام المظاريف المغلقة,Administrative,MUST,نظام المظاريف المنفصلة والمغلقة بالشمع الأحمر,تقديم العطاء في مظروفين منفصلين تماماً (مظروف العرض الفني، ومظروف العرض المالي) ومختومين ومغلقين بالشمع الأحمر وفق قانون المناقصات اليمني.,Tender Submission,Project Manager,الإجراءات الشكلية للعطاء,Pass/Fail,مظروفان منفصلان تماماً مختومان بالشمع الأحمر وموقعان من المفوض الرسمي,عدم احتواء المظروف الفني على أي أسعار أو مبالغ مالية تحت طائلة الإلغاء,None,HIGH,HIGH
REQ-ADM-009,42,وثائق الطرح - ضمان حسن التنفيذ,Financial,MUST,ضمان حسن التنفيذ بنسبة 10% عند الترسية,الالتزام بتقديم ضمان حسن التنفيذ بنسبة (10%) من قيمة العقد الإجمالية عند الترسية وقبل توقيع العقد النهائي.,Post-Award,Project Manager,الالتزامات التعاقدية المالية,Pass/Fail,خطاب تعهد بتقديم ضمان بنكي لحسن التنفيذ بنسبة 10% صادر من بنك معتمد,إصدار الضمان النهائي خلال المدة القانونية المحددة في إخطار الترسية,REQ-ADM-007,HIGH,HIGH
REQ-SCP-001,"2, 3, 4, 23",الجزء الثاني: نطاق المشروع وأهدافه,Functional,MUST,النطاق الشامل للمنظومة الرقمية الجامعية,تطوير منصة رقمية جامعية حديثة وموحدة تمثل الجامعة وكلياتها ومراكزها تشمل الموقع الرسمي، الـ CMS، المواقع الفرعية، البوابات، البحث المؤسسي، الذكاء الاصطناعي، التكامل، والأمن.,Phase 1 (W1-W4),Solutions Architect,المعمارية والمنهجية,25%,وثيقة نطاق العمل التفصيلي (SOW)، وثيقة المعمارية D-05، مصفوفة WBS,تغطية المنظومة لكافة المحاور الهندسية السبعة بنسبة 100%,None,HIGH,HIGH
