id,student_profile_id,request_type,title,description,status,submitted_at,reviewed_by,reviewed_at,rejection_reason,created_at,updated_at,request_number,current_step_index,current_role_key,current_assignee_id,form_data,student_notes,internal_notes,completed_at,cancelled_at
0277c36b-462f-410c-830b-6960a01dd163,7020e51d-19e3-4acb-9597-5145b65d117e,enrollment_suspension,وقف قيد,,completed,2026-07-27 07:51:50.376666+00,,,,2026-07-27 07:51:49.936694+00,2026-07-27 07:52:10.128829+00,SR-20260727-E388053F,0,,,"{""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""suspension_reason"": ""اختبار تسليم أول - إيقاف قيد TEST_ONLY"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6"", ""terms_acknowledgment"": true, ""suspension_duration_type"": ""one_semester""}",,,2026-07-27 07:52:10.128829+00,
09dabe40-1eb5-432e-b42d-0d05bfe2518e,7020e51d-19e3-4acb-9597-5145b65d117e,department_transfer,التحويل من قسم إلى قسم آخر,,cancelled,,,,,2026-07-27 10:58:55.6907+00,2026-07-27 10:59:23.887865+00,SR-20260727-5F154B51,0,,,"{""transfer_reason"": ""TEST_ONLY رغبة أكاديمية"", ""target_program_id"": ""8df96335-4197-4e33-85ca-a970608f6a63"", ""target_department_id"": ""11111111-1111-4111-8111-111111111111""}",,,,2026-07-27 10:59:23.887865+00
0f7f11f3-1cdd-492e-a971-5d4479c7e155,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,cancelled,2026-07-27 10:54:04.197882+00,,,,2026-07-27 10:54:04.022098+00,2026-07-27 10:58:43.621363+00,SR-20260727-3FD03446,0,,,"{""withdrawal_reason"": ""TEST_ONLY سحب ملف"", ""impact_acknowledgment"": true}",,,,2026-07-27 10:58:43.621363+00
24b7ba1f-04c9-44c1-a188-52f74ef908bb,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,cancelled,2026-07-27 10:58:56.255815+00,,,,2026-07-27 10:58:56.086094+00,2026-07-27 10:59:24.04194+00,SR-20260727-3FB77E5F,0,,,"{""reason"": ""TEST_ONLY فرصة أخيرة"", ""chance_type"": ""final_chance"", ""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6""}",,,,2026-07-27 10:59:24.04194+00
24f1c63a-f14e-4595-882b-b6ba4bf52dd4,7020e51d-19e3-4acb-9597-5145b65d117e,department_transfer,التحويل من قسم إلى قسم آخر,,cancelled,,,,,2026-07-27 10:52:17.898108+00,2026-07-27 10:58:43.717984+00,SR-20260727-97BD982D,0,,,"{""transfer_reason"": ""TEST_ONLY رغبة أكاديمية"", ""target_program_id"": ""8df96335-4197-4e33-85ca-a970608f6a63"", ""target_department_id"": ""11111111-1111-4111-8111-111111111111""}",,,,2026-07-27 10:58:43.717984+00
27e5d06b-c1c6-45d6-b96d-cbf89e18e697,7020e51d-19e3-4acb-9597-5145b65d117e,enrollment_suspension,وقف قيد,,completed,2026-07-27 07:21:15.890025+00,,,,2026-07-27 07:21:00.477323+00,2026-07-27 07:47:47.822416+00,SR-20260727-72610DE6,0,,,"{""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""suspension_reason"": ""اختبار تسليم أول - إيقاف قيد TEST_ONLY"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6"", ""terms_acknowledgment"": true, ""suspension_duration_type"": ""one_semester""}",,,2026-07-27 07:47:47.822416+00,
2b9107e5-548f-4154-8c63-a7c453ff22c8,7020e51d-19e3-4acb-9597-5145b65d117e,excused_absence,غياب بعذر,,cancelled,,,,,2026-07-27 10:52:17.668343+00,2026-07-27 10:58:43.961166+00,SR-20260727-FE7796D9,0,,,"{""reason_type"": ""medical"", ""absence_date"": ""2026-07-20"", ""excuse_documents"": [], ""course_section_id"": ""92a920b4-5e7d-401c-aae3-aa2f22c8b1b9"", ""absence_reason_detail"": ""TEST_ONLY عذر طبي""}",,,,2026-07-27 10:58:43.961166+00
30482047-e7e4-4e5a-accd-5a9a097d9e14,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,completed,2026-07-27 10:59:43.216745+00,,,,2026-07-27 10:59:43.039028+00,2026-07-27 10:59:50.521601+00,SR-20260727-0106E11C,0,,,"{""reason"": ""TEST_ONLY فرصة أخيرة"", ""chance_type"": ""final_chance"", ""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6""}",,,2026-07-27 10:59:50.521601+00,
30b5af9e-533a-428d-a166-43eeebc03d82,7020e51d-19e3-4acb-9597-5145b65d117e,excused_absence,غياب بعذر,,draft,,,,,2026-07-27 11:46:49.094186+00,2026-07-27 16:40:56.077271+00,SR-20260727-F08CEC55,0,,,"{""reason_type"": ""medical"", ""absence_date"": ""2026-07-01"", ""course_section_id"": ""92a920b4-5e7d-401c-aae3-aa2f22c8b1b9"", ""absence_reason_detail"": ""سبب اختباري TEST_ONLY لأغراض التحقق من الحفظ.""}",,,,
37093986-4030-499f-9377-9301f3403a2f,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,draft,,,,,2026-07-27 11:47:00.304558+00,2026-07-27 16:41:12.174397+00,SR-20260727-CB3833D1,0,,,"{""reason"": ""سبب اختباري TEST_ONLY لأغراض التحقق من الحفظ."", ""target_semester"": ""2e583958-eaa1-440b-a8a0-8403dafd76c6"", ""target_academic_year"": ""a2a2a2a2-2222-4222-8222-222222222222""}",,,,
40ccc66a-d638-4c49-8ac6-ac771caea131,b1e20002-0000-4000-8000-000000000002,department_transfer,التحويل من قسم إلى قسم آخر,,draft,,,,,2026-07-27 16:59:18.741228+00,2026-07-27 17:32:10.891575+00,SR-20260727-03DDF561,0,,,"{""transfer_reason"": ""طلب تحويل اختباري TEST_ONLY"", ""target_program_id"": ""115b1d6a-efc3-40d6-9a4c-f84c17e30173"", ""target_department_id"": ""11111111-1111-4111-8111-111111111111""}",,,,
421429ec-f165-4e07-bc3b-278268ec4f33,7020e51d-19e3-4acb-9597-5145b65d117e,department_transfer,التحويل من قسم إلى قسم آخر,,completed,2026-07-27 10:59:34.014805+00,,,,2026-07-27 10:59:33.107427+00,2026-07-27 10:59:42.756469+00,SR-20260727-7341CD80,0,,,"{""transfer_reason"": ""TEST_ONLY رغبة أكاديمية"", ""target_program_id"": ""8df96335-4197-4e33-85ca-a970608f6a63"", ""target_department_id"": ""11111111-1111-4111-8111-111111111111""}",,,2026-07-27 10:59:42.756469+00,
47e6eefe-7ff4-48a0-9c50-bf10af63a99a,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,completed,2026-07-27 10:56:09.992406+00,,,,2026-07-27 10:56:09.777121+00,2026-07-27 10:56:17.593801+00,SR-20260727-0917B700,0,,,"{""reason"": ""TEST_ONLY فرصة أخيرة"", ""chance_type"": ""final_chance"", ""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6""}",,,2026-07-27 10:56:17.593801+00,
4953f79c-fcf1-4119-8ef3-a0c6c240534f,7020e51d-19e3-4acb-9597-5145b65d117e,department_transfer,التحويل من قسم إلى قسم آخر,,completed,2026-07-27 07:48:37.686692+00,,,,2026-07-27 07:48:36.982905+00,2026-07-27 07:52:50.412137+00,SR-20260727-9F00443A,0,,,"{""transfer_reason"": ""اختبار تسليم أول - تحويل قسم TEST_ONLY"", ""target_program_id"": ""8df96335-4197-4e33-85ca-a970608f6a63"", ""target_department_id"": ""11111111-1111-4111-8111-111111111111""}",,,2026-07-27 07:52:50.412137+00,
4cf1fda2-0218-4403-a676-a6697b08aa34,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,completed,2026-07-27 07:53:11.833723+00,,,,2026-07-27 07:53:11.600795+00,2026-07-27 07:54:36.568654+00,SR-20260727-7CE38765,0,,,"{""withdrawal_reason"": ""اختبار تسليم أول - سحب ملف TEST_ONLY لأغراض التحقق فقط"", ""impact_acknowledgment"": true}",,,2026-07-27 07:54:36.568654+00,
53710937-4a69-4fc6-96b1-c2727c551c6e,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,completed,2026-07-27 10:59:56.375776+00,,,,2026-07-27 10:59:56.168331+00,2026-07-27 11:00:06.832899+00,SR-20260727-80B5739A,0,,,"{""withdrawal_reason"": ""TEST_ONLY سحب ملف"", ""impact_acknowledgment"": true}",,,2026-07-27 11:00:06.832899+00,
54b96b02-872d-4c8e-b326-98e3e4986afa,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,completed,2026-07-27 10:59:02.863178+00,,,,2026-07-27 10:59:02.705791+00,2026-07-27 10:59:11.878808+00,SR-20260727-A2C3678F,0,,,"{""withdrawal_reason"": ""TEST_ONLY سحب ملف"", ""impact_acknowledgment"": true}",,,2026-07-27 10:59:11.878808+00,
6c4ca023-11d4-41e9-91ce-55d353795909,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,completed,2026-07-27 07:49:31.16012+00,,,,2026-07-27 07:49:31.040555+00,2026-07-27 07:53:11.053592+00,SR-20260727-E46C7742,0,,,"{""reason"": ""اختبار تسليم أول - فرصة أخيرة TEST_ONLY"", ""chance_type"": ""final_chance"", ""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6""}",,,2026-07-27 07:53:11.053592+00,
70ea684d-fe11-4505-8d94-73f035770b39,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,completed,2026-07-27 10:57:32.388324+00,,,,2026-07-27 10:57:32.184334+00,2026-07-27 10:57:39.7606+00,SR-20260727-216510DF,0,,,"{""reason"": ""TEST_ONLY فرصة أخيرة"", ""chance_type"": ""final_chance"", ""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6""}",,,2026-07-27 10:57:39.7606+00,
7df02398-bf56-4c75-b63b-f5ec20e39360,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,completed,2026-07-27 10:56:18.062779+00,,,,2026-07-27 10:56:17.858552+00,2026-07-27 10:56:27.206515+00,SR-20260727-407AE418,0,,,"{""withdrawal_reason"": ""TEST_ONLY سحب ملف"", ""impact_acknowledgment"": true}",,,2026-07-27 10:56:27.206515+00,
7fce2743-1940-488d-b434-aba98967985d,b1e20002-0000-4000-8000-000000000002,file_withdrawal,سحب ملف,,draft,,,,,2026-07-27 16:59:54.76066+00,2026-07-27 20:00:49.798258+00,SR-20260727-85E124BE,0,,,"{""withdrawal_reason"": ""سبب اختباري لسحب الملف ضمن حساب TEST_ONLY معزول لأغراض التحقق التشغيلي فقط."", ""impact_acknowledgment"": true}",,,,
85d7068a-8443-4a96-b3bb-b7c658616820,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,completed,2026-07-27 07:50:09.100699+00,,,,2026-07-27 07:50:08.775538+00,2026-07-27 07:51:35.842186+00,SR-20260727-4532F769,0,,,"{""withdrawal_reason"": ""اختبار تسليم أول - سحب ملف TEST_ONLY لأغراض التحقق فقط"", ""impact_acknowledgment"": true}",,,2026-07-27 07:51:35.842186+00,
96eec10e-5552-40b6-9a40-61011a68e798,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,draft,,,,,2026-07-27 11:47:05.852625+00,2026-07-27 16:41:19.988788+00,SR-20260727-1D4022A1,0,,,"{""withdrawal_reason"": ""سبب اختباري TEST_ONLY لأغراض التحقق من الحفظ."", ""impact_acknowledgment"": true}",,,,
9e97eeac-640b-4778-ba72-3463c1c438d3,7020e51d-19e3-4acb-9597-5145b65d117e,enrollment_suspension,وقف قيد,,completed,2026-07-27 10:58:50.694139+00,,,,2026-07-27 10:58:50.459168+00,2026-07-27 10:58:54.687514+00,SR-20260727-E0DB6A55,0,,,"{""notes"": ""TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE"", ""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""suspension_reason"": ""TEST_ONLY ظرف صحي"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6"", ""terms_acknowledgment"": true, ""suspension_duration_type"": ""one_semester""}",,,2026-07-27 10:58:54.687514+00,
acdbcc84-c54b-413a-bea0-ec9b88eeda44,7020e51d-19e3-4acb-9597-5145b65d117e,excused_absence,غياب بعذر,,cancelled,,,,,2026-07-27 10:58:54.964818+00,2026-07-27 10:59:23.981474+00,SR-20260727-15BF8956,0,,,"{""reason_type"": ""medical"", ""absence_date"": ""2026-07-20"", ""excuse_documents"": [], ""course_section_id"": ""92a920b4-5e7d-401c-aae3-aa2f22c8b1b9"", ""absence_reason_detail"": ""TEST_ONLY عذر طبي""}",,,,2026-07-27 10:59:23.981474+00
ade49963-0a68-4c87-a24b-5e067c1be7fd,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,cancelled,2026-07-27 10:53:16.136209+00,,,,2026-07-27 10:52:19.741194+00,2026-07-27 10:58:43.837404+00,SR-20260727-491F8309,0,,,"{""withdrawal_reason"": ""TEST_ONLY سحب ملف"", ""impact_acknowledgment"": true}",,,,2026-07-27 10:58:43.837404+00
b093dc3d-9fc8-4b16-a0e6-0b767f597d71,7020e51d-19e3-4acb-9597-5145b65d117e,excused_absence,غياب بعذر,,completed,2026-07-27 07:48:21.165513+00,,,,2026-07-27 07:28:44.236091+00,2026-07-27 07:48:36.498798+00,SR-20260727-5710AFB4,0,,,"{""reason_type"": ""medical"", ""absence_date"": ""2026-07-26"", ""course_section_id"": ""92a920b4-5e7d-401c-aae3-aa2f22c8b1b9"", ""absence_reason_detail"": ""اختبار تسليم أول - عذر غياب TEST_ONLY""}",,,2026-07-27 07:48:36.498798+00,
bf38217e-9edb-4527-bde2-dc30e56a9f47,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,cancelled,2026-07-27 10:52:18.314494+00,,,,2026-07-27 10:52:18.156334+00,2026-07-27 10:58:43.782408+00,SR-20260727-96245A20,0,,,"{""reason"": ""TEST_ONLY فرصة أخيرة"", ""chance_type"": ""final_chance"", ""target_semester"": ""dc917e4d-607d-43ce-9d78-020de14eccf0"", ""target_academic_year"": ""1b9e6972-0870-41d6-b849-bdcbc7b6c0d6""}",,,,2026-07-27 10:58:43.782408+00
c3acb770-2a89-441a-93cd-d0ff882a3e4b,7020e51d-19e3-4acb-9597-5145b65d117e,enrollment_suspension,وقف قيد,,completed,2026-07-27 10:59:51.045561+00,,,,2026-07-27 10:59:50.826273+00,2026-07-27 10:59:55.878683+00,SR-20260727-A99E2634,0,,,"{""notes"": ""TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE"", ""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""suspension_reason"": ""TEST_ONLY ظرف صحي"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6"", ""terms_acknowledgment"": true, ""suspension_duration_type"": ""one_semester""}",,,2026-07-27 10:59:55.878683+00,
c876eb00-4677-4b7b-ba8f-d8a15392f0df,7020e51d-19e3-4acb-9597-5145b65d117e,enrollment_suspension,وقف قيد,,cancelled,2026-07-27 10:52:15.687354+00,,,,2026-07-27 10:51:36.899033+00,2026-07-27 10:58:43.382307+00,SR-20260727-754812CE,0,,,"{""notes"": ""TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE"", ""target_semester"": ""dc917e4d-607d-43ce-9d78-020de14eccf0"", ""suspension_reason"": ""TEST_ONLY ظرف صحي"", ""target_academic_year"": ""1b9e6972-0870-41d6-b849-bdcbc7b6c0d6"", ""terms_acknowledgment"": true, ""suspension_duration_type"": ""one_semester""}",,,,2026-07-27 10:58:43.382307+00
d3f5be81-0760-459b-8d30-a3377ab33aa1,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,cancelled,2026-07-27 10:53:56.606632+00,,,,2026-07-27 10:53:56.407355+00,2026-07-27 10:58:43.536237+00,SR-20260727-ADD5838A,0,,,"{""reason"": ""TEST_ONLY فرصة أخيرة"", ""chance_type"": ""final_chance"", ""target_semester"": ""dc917e4d-607d-43ce-9d78-020de14eccf0"", ""target_academic_year"": ""1b9e6972-0870-41d6-b849-bdcbc7b6c0d6""}",,,,2026-07-27 10:58:43.536237+00
de9e6c7f-eaec-4d32-9e8c-7ce168d542c5,7020e51d-19e3-4acb-9597-5145b65d117e,excused_absence,غياب بعذر,,completed,2026-07-27 10:59:28.223218+00,,,,2026-07-27 10:59:27.003681+00,2026-07-27 10:59:32.75921+00,SR-20260727-6FC487C8,0,,,"{""reason_type"": ""medical"", ""absence_date"": ""2026-07-20"", ""excuse_documents"": [], ""course_section_id"": ""92a920b4-5e7d-401c-aae3-aa2f22c8b1b9"", ""absence_reason_detail"": ""TEST_ONLY عذر طبي""}",,,2026-07-27 10:59:32.75921+00,
dea68f8a-9fa8-4525-9685-745212604ec7,7020e51d-19e3-4acb-9597-5145b65d117e,department_transfer,التحويل من قسم إلى قسم آخر,,draft,,,,,2026-07-27 11:46:54.686419+00,2026-07-27 16:41:04.234215+00,SR-20260727-1A2EAC5E,0,,,"{""transfer_reason"": ""سبب اختباري TEST_ONLY لأغراض التحقق من الحفظ."", ""target_program_id"": ""76019dee-4ab4-44e9-80e3-8b45d2a7d2a8"", ""target_department_id"": ""ce485c67-5f7c-498d-b120-4b1130a86ae8""}",,,,
e3cc0366-b6fc-4d64-8c01-541030f83b00,7020e51d-19e3-4acb-9597-5145b65d117e,excused_absence,غياب بعذر,,completed,2026-07-27 07:52:11.960447+00,,,,2026-07-27 07:52:10.79708+00,2026-07-27 07:52:27.395179+00,SR-20260727-44334F5D,0,,,"{""reason_type"": ""medical"", ""absence_date"": ""2026-07-26"", ""course_section_id"": ""92a920b4-5e7d-401c-aae3-aa2f22c8b1b9"", ""absence_reason_detail"": ""اختبار تسليم أول - عذر غياب TEST_ONLY""}",,,2026-07-27 07:52:27.395179+00,
e8f72662-5dd6-45d2-9bab-555c39f7a136,7020e51d-19e3-4acb-9597-5145b65d117e,enrollment_suspension,وقف قيد,,completed,2026-07-27 07:48:00.64458+00,,,,2026-07-27 07:48:00.416243+00,2026-07-27 07:48:20.016507+00,SR-20260727-8CE10383,0,,,"{""target_semester"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""suspension_reason"": ""اختبار تسليم أول - إيقاف قيد TEST_ONLY"", ""target_academic_year"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6"", ""terms_acknowledgment"": true, ""suspension_duration_type"": ""one_semester""}",,,2026-07-27 07:48:20.016507+00,
f2a8e4bb-b305-4dc9-8ec7-570a2c35c993,7020e51d-19e3-4acb-9597-5145b65d117e,file_withdrawal,سحب ملف,,completed,2026-07-27 10:57:40.272233+00,,,,2026-07-27 10:57:40.050531+00,2026-07-27 10:57:50.118589+00,SR-20260727-058FD839,0,,,"{""withdrawal_reason"": ""TEST_ONLY سحب ملف"", ""impact_acknowledgment"": true}",,,2026-07-27 10:57:50.118589+00,
fda9e39c-ab82-44e2-aef6-0b422d401e0e,7020e51d-19e3-4acb-9597-5145b65d117e,final_chance,فرصة أخيرة,,cancelled,2026-07-27 10:53:14.308204+00,,,,2026-07-27 10:53:14.121642+00,2026-07-27 10:58:43.899251+00,SR-20260727-34806E2D,0,,,"{""reason"": ""TEST_ONLY فرصة أخيرة"", ""chance_type"": ""final_chance"", ""target_semester"": ""dc917e4d-607d-43ce-9d78-020de14eccf0"", ""target_academic_year"": ""1b9e6972-0870-41d6-b849-bdcbc7b6c0d6""}",,,,2026-07-27 10:58:43.899251+00
