Requirement_ID,Page_Number,Requirement_Title,Obligation_Level,Response_Status,Proposal_Section_Ref,Architecture_Component_Ref,Evidence_Status,Acceptance_Method,Responsibility_Owner,Qualification_Notes
REQ-ADM-001,3,المرجعية التشريعية لقانون المناقصات اليمني,MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-002,3,تكافؤ الفرص والحيادية (Vendor-Neutral),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-003,"3, 23, 28, 42",الملكية الحصرية والمطلقة للشفرة المصدرية (Full Source Code Git),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-004,"3, 35, 36",تقديم البطاقة الضريبية والزكوية والتأمينية سارية المفعول,MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-005,"3, 35, 36",السجل التجاري وترخيص مزاولة النشاط في تقنية المعلومات,MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-006,"3, 29, 35, 36",سابقة أعمال موثقة بـ 3 شهادات إنجاز لمشاريع جامعية/بوابات ضخمة,MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-007,"3, 35, 36, 37, 42",الضمان البنكي الابتدائي بنسبة 2% وسارٍ لـ 90 يوماً,MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-008,"3, 36, 42",نظام المظاريف المنفصلة والمغلقة بالشمع الأحمر,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-ADM-009,42,ضمان حسن التنفيذ بنسبة 10% عند الترسية,MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_UNDERSTANDING_AND_SCOPE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-SCP-001,"2, 3, 4, 23",النطاق الشامل للمنظومة الرقمية الجامعية,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-ARC-001,"4, 5, 24, 25",معمارية Modular Monolith القابلة للتوسع,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-ARC-002,"5, 6, 24, 25",حزمة التقنيات المعتمدة (Next.js/React + Tailwind + NestJS/FastAPI + PostgreSQL + Redis),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-ARC-003,"5, 6, 7, 24, 25",بيئة الحاويات Docker و Kubernetes (K8s) والأتمتة,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-ARC-004,"5, 6, 24, 25",تخزين سحابي محلي للوسائط MinIO (S3-Compatible),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-FR-001,"8, 23, 26, 37",توفير موقع إلكتروني رسمي متكامل لجامعة تعز,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-FR-002,"8, 14, 15, 23, 24, 26, 37",منصة إدارة محتوى متعددة المواقع لـ 25 موقعاً فرعياً (RTM-01 / BOQ 1.3),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Multi-Site CMS / Sovereign Local RAG,PROPOSED_DESIGN,Verification & Sign-off Protocol,Solutions Architect / AI Specialist,Fully addressed in Proposal
REQ-FR-003,"8, 9, 10, 11, 12, 23, 26, 37",محرر صفحات مرن (Block/WYSIWYG) مع دورة حياة المحتوى والنشر,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-FR-004,"8, 9, 10, 11, 37",إدارة الأخبار، الإعلانات، الفعاليات والتقويم الجامعي,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-FR-005,"10, 11, 37",دليل البرامج الأكاديمية وملفات أعضاء هيئة التدريس,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-FR-006,"11, 12, 37",أداة بناء النماذج الإلكترونية ومكتبة الوسائط المركزية,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-FR-007,"15, 16, 26, 37",نظام التصميم الموحد (Design System) والقوالب المشتركة,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-IAM-001,"6, 7, 18, 23, 26, 38",نظام الدخول الموحد (SSO/MFA) عبر Keycloak/OIDC (RTM-02 / BOQ 2.4),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-IAM-002,"12, 16, 18, 26, 34, 38",التحكم في الوصول القائم على الدور (RBAC) ومبدأ Least Privilege,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-PTL-001,"18, 19, 23, 26, 38",بوابة الطالب الرقمية وتتبع المعاملات (Student Portal / BOQ 2.1),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-PTL-002,"18, 23, 26, 38",بوابة عضو هيئة التدريس (Faculty Portal / BOQ 2.2),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-PTL-003,"18, 23, 26, 38",بوابة الموظفين والخدمات الإدارية (Staff Portal / BOQ 2.3),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-AI-001,"6, 7, 20, 21, 22, 23, 25, 27, 38",محرك RAG محلي سيادي واستضافة 100% On-Premises (RTM-03 / BOQ 3.1),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Multi-Site CMS / Sovereign Local RAG,PROPOSED_DESIGN,Verification & Sign-off Protocol,Solutions Architect / AI Specialist,Fully addressed in Proposal
REQ-AI-002,"20, 27, 38",المعالجة الصرفية العربية والبحث الهجين (Arabic NLP & Hybrid Search / BOQ 3.2),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Multi-Site CMS / Sovereign Local RAG,PROPOSED_DESIGN,Verification & Sign-off Protocol,Solutions Architect / AI Specialist,Fully addressed in Proposal
REQ-AI-003,"20, 21, 22, 23, 30, 38",تحقيق دقة استرجاع Recall@10 > 95% وزمن استجابة < 2.5s,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-AI-004,"21, 22, 27, 33, 38",منع الهلوسة ولوحة الحوكمة والتدخل البشري (Human-in-the-loop / BOQ 3.3),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-AI-005,"22, 33",الحماية من هجمات Prompt Injection وتأمين طبقة الـ LLM,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-INT-001,"4, 7, 19, 23, 24, 28, 39",بناء وتأمين بوابة API Gateway المركزية (RTM-07 / BOQ 4.1),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-INT-002,"24, 28, 39",تطوير 4 موصلات للأنظمة القائمة (Legacy Connectors / BOQ 4.2),MUST,CLARIFICATION_REQUIRED,TAIZ_TENDER_04_MIGRATION_INTEGRATION.md,Integration Gateway & Adapters,PROPOSED_DESIGN,Verification & Sign-off Protocol,Backend Lead / Integration Lead,Fully addressed in Proposal
REQ-MIG-001,"5, 7, 23, 24, 30, 31, 39",هجرة المحتوى القديم وأرشفة الروابط عبر 301 Redirects (RTM-09 / BOQ 4.3),MUST,CLARIFICATION_REQUIRED,TAIZ_TENDER_04_MIGRATION_INTEGRATION.md,Integration Gateway & Adapters,PROPOSED_DESIGN,Verification & Sign-off Protocol,Backend Lead / Integration Lead,Fully addressed in Proposal
REQ-SEO-001,"6, 13, 23, 24, 26, 35, 37",محرك SEO الآلي والفهرسة اللحظية والبيانات المنظمة (RTM-06 / BOQ 1.4),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-SEC-001,"6, 7, 23, 24, 27, 34, 39",التوافق التام مع معيار OWASP ASVS v4.0 Level 2 (RTM-04 / BOQ 5.1),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-SEC-002,"7, 23, 27, 34, 39",التشفير الصارم أثناء الحركة (TLS 1.3) والسكون (AES-256),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-SEC-003,"7, 23, 27, 29, 30, 32, 34, 39",تقرير فحص واختبار اختراق معتمد من طرف ثالث (Penetration Test / BOQ 5.2),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-SEC-004,"13, 34",سجلات تدقيق العمليات الحساسة (Immutable Audit Trail),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-SEC-005,34,فحص الملفات بمضاد فيروسات (Antivirus/Sandbox) وحظر الملحقات الخطرة,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-PRF-001,"6, 7, 24, 28, 30, 32, 34, 39","دعم 5,000 مستخدم متزامن والتوسع لـ 25,000 مع LCP < 2.5s (RTM-08 / BOQ 5.3)",MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-PRF-002,"24, 25, 28, 33",طبقة التخزين المؤقت الموزعة Redis Cluster,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-UXA-001,"6, 8, 14, 15, 24, 28, 30, 37",مطابقة النفاذية الرقمية WCAG 2.2 Level AA (RTM-05 / BOQ 1.1),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-UXA-002,"5, 6, 8, 37",التصميم المتجاوب الكامل ودعم الاتجاهين (RTL / LTR),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-BCP-001,"7, 17, 28, 30, 39",استراتيجية التعافي من الكوارث (RPO <= 1h و RTO <= 4h / BOQ 5.4),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
