Table_Number,Table_Name,Item_Number,Description_Technical_Details,Unit,Quantity,Payment_Milestone_Mapping,Required_Evidence,Verification_Method,Page_Number
Table 1,البنية التحتية للموقع الإلكتروني ونظام إدارة المحتوى (CMS),1.1,التصميم المعماري وتجربة المستخدم (UI/UX): إعداد الهوية الرقمية، والمخططات الهيكلية (Wireframes)، ونظام التصميم (Design System)، ودعم الاتجاهين (RTL/LTR)، ومعيار إمكانية الوصول (WCAG 2.2 AA).,خدمة,1,الدفعة الثانية (15%),ملفات Figma، نماذج HTML/CSS تفاعلية، دليل الهوية ونظام التصميم، تقرير فحص النفاذية,مراجعة واعتماد لجنة الجامعة الفنية لمحاكاة الواجهات واختبار axe-core,37
Table 1,البنية التحتية للموقع الإلكتروني ونظام إدارة المحتوى (CMS),1.2,تطوير الموقع الإلكتروني الرئيسي ونظام CMS: تطبيق نظام إدارة محتوى مرن ثنائي اللغة مع نظام صلاحيات هرمي وإدارة المسودات والموافقات.,نظام,1,الدفعة الثالثة (35%),لوحة تحكم CMS شغالة، مستودع Git، أدلة النشر، سيناريوهات إدارة المحتوى والمسودات والموافقات,اختبار عملي حي لنشر صفحات وتعديلها وإدارتها بمستويات صلاحيات متعددة,37
Table 1,البنية التحتية للموقع الإلكتروني ونظام إدارة المحتوى (CMS),1.3,المواقع الهيكلية متعددة (Multi-Site Architecture): تخصيص وبناء بيئة موحدة تدير المواقع الفرعية للكليات والمراكز والمرافق (Subdomains) لعدد 25 موقعاً فرعياً.,موقع/فرع,25,الدفعة الثالثة (35%),منصة Multi-Tenant مفعلة لـ 25 موقع فرعي مستقل، عزل الصلاحيات، قوالب موحدة وشاشات تخصيص,توليد وتخصيص مواقع فرعية جديدة عبر Subdomains والتحقق من الاستقلالية والحوكمة المركزية,37
Table 1,البنية التحتية للموقع الإلكتروني ونظام إدارة المحتوى (CMS),1.4,محرك البحث الداخلي والـ SEO: محرك بحث متقدم، توليد خرائط الخوادم (sitemap.xml/robots.txt)، وربط الأدوات التحليلية وأوسمة السيو وبيانات JSON-LD المنظمة.,وحدة,1,الدفعة الرابعة (30%),توليد تلقائي لبيانات Schema.org و sitemap.xml، واجهات Instant Indexing (Google/IndexNow)، تكامل التحليلات,فحص مؤشرات الأرشفة بمحركات البحث وفحص نتائج الاختبار للبيانات المنظمة,37
Table 2,البوابة الرقمية الجامعية الشاملة (Portals),2.1,بوابة الطالب (Student Portal): تطوير واجهات الملف الأكاديمي، الجدول الدراسي، النتائج، الرسوم الإلكترونية، والطلبات الأكاديمية وطلبات إيقاف القيد وتتبع المعاملات التفاعلي.,بوابة,1,الدفعة الثالثة (35%),شاشات بوابة الطالب، سير عمل الطلبات الإلكترونية، نظام التتبع والإشعارات، الربط مع المساعد الذكي,محاكاة تسجيل دخول طالب وتقديم طلب أكاديمي وتتبع مساره حتى الاعتماد,38
Table 2,البوابة الرقمية الجامعية الشاملة (Portals),2.2,بوابة الكادر الأكاديمي (Faculty Portal): تطوير واجهات إدارة المقررات، رصد الدرجات، الحضور، والأبحاث العلمية والسيرة الذاتية والعبء التدريسي.,بوابة,1,الدفعة الثالثة (35%),شاشات بوابة الأكاديمي، رصد الدرجات، جداول التدريس، إدارة الأبحاث والمجالس الأكاديمية,اختبار عملي لدور عضو هيئة التدريس ورصد الدرجات وإدارة الأبحاث,38
Table 2,البوابة الرقمية الجامعية الشاملة (Portals),2.3,بوابة الموظفين (Staff Portal): تطوير واجهات الخدمات الإدارية، طلبات الإجازات، التعاملات والمراسلات الداخلية، كشف الراتب، ومتابعة العهد.,بوابة,1,الدفعة الثالثة (35%),شاشات بوابة الموظفين، نماذج الإجازات، مسارات المراسلات الداخلية، كشوفات الرواتب,اختبار تقديم طلب إجازة إدارية ومسار اعتماده وتوليد كشف الراتب,38
Table 2,البوابة الرقمية الجامعية الشاملة (Portals),2.4,نظام الدخول الموحد والصلاحيات (SSO & RBAC): إعداد المصادقة الموحدة عبر OAuth 2.0 / OIDC والمصادقة الثنائية (MFA) للحسابات الحساسة.,نظام,1,الدفعة الثالثة (35%),خادم هويات موحد (Keycloak/OIDC)، تكامل MFA، إدارة الأدوار والصلاحيات RBAC بمبدأ Least Privilege,اختبار SSO موحد عبر جميع البوابات وفرض MFA للأدمن والأكاديميين,38
Table 3,حلول وتقنيات الذكاء الاصطناعي (AI & RAG Engine),3.1,المساعد الافتراضي والدردشة الذكية (AI Chatbot): تطوير وبناء محرك محلي يستند إلى تقنية RAG وقاعدة بيانات متجهية (Vector DB محلي) لمعالجة استفسارات القبول واللوائح والرسوم.,نظام,1,الدفعة الثالثة (35%),محرك RAG محلي (Qdrant/Milvus + Local LLM 32B/72B)، استضافة سيادية 100% On-Premises، ربط بالمصادر,اختبار دقة الاسترجاع Recall@10 > 95%، زمن استجابة < 2.5s، خلو تام من الهلوسة,38
Table 3,حلول وتقنيات الذكاء الاصطناعي (AI & RAG Engine),3.2,محرك البحث الدلالي (Semantic Search): معالجة اللغة العربية (Arabic NLP والتجذير الصرفي Farasa/CamelTools والبحث الهجين BM25 + Vector عبر RRF) للبحث في وثائق ولوائح الجامعة.,محرك,1,الدفعة الثالثة (35%),محرك بحث هجين عربي، أنابيب المعالجة الصرفية، فهرسة وثائق ولوائح وأبحاث الجامعة,اختبار البحث بمصطلحات دقيقة ومفاهيم دلالية ومقارنة النتائج,38
