Requirement_ID,Page_Number,Requirement_Title,Obligation_Level,Architecture_Component,Design_Decision_ADR,Acceptance_Evidence_Artifact,Delivery_Phase,Responsible_Role,Risk_Classification,Clarification_Required
REQ-ADM-001,3,المرجعية التشريعية لقانون المناقصات اليمني,MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Legal / Executive Management),N/A (Legal Compliance),Legal Declaration Affidavit,Tender Submission,Project Manager / Legal,HIGH,None
REQ-ADM-002,3,تكافؤ الفرص والحيادية (Vendor-Neutral),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Solutions Architect),ADR-01 (Vendor-Neutral Policy),Architecture Document D-05,Phase 1 (W1-W4),Solutions Architect,LOW,None
REQ-ADM-003,"3, 23, 28, 42",الملكية الحصرية والمطلقة للشفرة المصدرية (Full Source Code Git),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Project Manager / Legal),ADR-01 (Full Source IP Transfer),Git Repository Handover Record,Phase 6 (W29-W32),Project Manager,HIGH,None
REQ-ADM-004,"3, 35, 36",تقديم البطاقة الضريبية والزكوية والتأمينية سارية المفعول,MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Corporate Affairs / Legal),N/A (Tax & Zakat Documentation),Official Certified Cards (4 Cards),Tender Submission,Project Manager / Finance,CRITICAL,None
REQ-ADM-005,"3, 35, 36",السجل التجاري وترخيص مزاولة النشاط في تقنية المعلومات,MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Corporate Affairs / Legal),N/A (Commercial Registration),Valid Commercial Register 2026,Tender Submission,Project Manager / Legal,CRITICAL,None
REQ-ADM-006,"3, 29, 35, 36",سابقة أعمال موثقة بـ 3 شهادات إنجاز لمشاريع جامعية/بوابات ضخمة,MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Project Management / PMO),N/A (Past Performance Records),3 Official Handover Certificates,Tender Submission,Project Manager,CRITICAL,None
REQ-ADM-007,"3, 35, 36, 37, 42",الضمان البنكي الابتدائي بنسبة 2% وسارٍ لـ 90 يوماً,MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Finance / Treasury),N/A (Bank Guarantee 2%),Original Bank Letter (90 Days),Tender Submission,Finance Manager,CRITICAL,None
REQ-ADM-008,"3, 36, 42",نظام المظاريف المنفصلة والمغلقة بالشمع الأحمر,MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Tender Submission Coordinator),N/A (Formal Wax Sealing),Two Red-Wax Sealed Envelopes,Tender Submission,Project Manager,HIGH,None
REQ-ADM-009,42,ضمان حسن التنفيذ بنسبة 10% عند الترسية,MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Finance / Treasury),N/A (Performance Bond 10%),10% Performance Bond Letter,Post-Award,Finance Manager,HIGH,None
REQ-SCP-001,"2, 3, 4, 23",النطاق الشامل للمنظومة الرقمية الجامعية,MUST,Core Solution Scope & Modular Monolith,ADR-01,Architecture Blueprint D-05,Phase 1 (W1-W4),Solutions Architect,HIGH,None
